title,published_date,updated_published_date,author,content,location,crime,news_url,img_url,latitude,longitude,crime_numeric
ParaÃ±aque drug bust yields P49M worth of shabu,6/23/2023 17:00,,"JOVILAND RITA, GMA Integrated News",worth operation city national police said statement said people operation following operation custody drug enforcement agency proper disposition said face violation comprehensive dangerous act added chief police general benjamin accomplishment operating law commitment drug menace truly commendable continue support empower relentless pursuit drug free nation said news,Paranaque City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/873814/paranaque-drug-bust-yields-p49m-worth-of-shabu/story/,https://images.gmanews.tv/webpics/2023/06/unnamed_2023_06_23_16_33_31.jpg,,,3
Fake PWD IDs being sold in Manila; 2 suspects arrested,6/23/2023 8:57,,GMA Integrated News,people manila making selling fake disability according cay report balita ralph entrapment operation manila police district special mayor reaction team smart home computer printer fake template discovered computer according report fake sold purchase look fake true mistake real said police major chief smart avail food medicine news,"Tondo, Manila City",Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/873776/fake-pwd-ids-being-sold-in-manila-2-suspects-arrested/story/,https://images.gmanews.tv/webpics/2023/06/ubfoto_2023_06_23_08_03_01.jpg,,,5
Gentle Hands head faces raps over alleged kidnapping,6/23/2023 13:39,,"JOAHNA LEI CASILAO, GMA Integrated News",mother file criminal complaint executive director gentle shut government violation allegedly refuse return child despite repeat request page complaint file city prosecutor office mother accuse charity graff failure return minor article revise penal code accord complainant admit month single parent nanny indefinite leave start problem access point allow minute despite request long visitation hour complainant graff restrict visit accuse worthless mother come point hope totally deny access forcefully send home respondent graff complainant request release week instead oblige graff allegedly start unreasonable demand graff require present parental capability assessment report despite obtain complainant graff refuse return complainant prompt file complaint office president office cabinet secretary department social welfare development send demand letter graff march week remain separate trauma worsen start hopeless complainant accord complainant child recover authority government shut present identification finally reunite grateful development understand respondent graff cruel illegal complainant seek comment legal counsel receive copy complaint aware complaint receive copy tell integrate news answer complaint proper forum,"Cubao, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/873797/gentle-hands-head-faces-raps-over-alleged-kidnapping/story/,https://images.gmanews.tv/webpics/2023/06/gentle_hands_inc_2023_06_09_18_34_26.JPG,14.621648,121.0502934,1
Manila Bay reclamation projects being monitored for possible violations â€”DENR,6/27/2023 13:02,,"ANNA FELICIA BAJO, GMA Integrated News",department environment natural reclamation manila bay environment secretary said palace press briefing stop certain rehabilitation manila bay looking compliance working calling talking said discussion certain party disclose ongoing party said release information new technical conference explanation unobserved potential non compliance added according chief cumulative impact assessment ongoing rehabilitation right given latitude actually present cumulative impact assessment different individual past evaluation individual basis practice globally single ecosystem said reclamation authority said start filling land reclamation year bay area project manila start grandstand manila yacht club administration news,Manila City,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/874077/manila-bay-reclamation-projects-being-monitored-for-possible-violations-denr/story/,https://images.gmanews.tv/webpics/2023/02/Reclamation_2023_02_27_23_37_31.png,,,4
"1,534 Filipinos, 1,190 foreigners rescued from Las PiÃ±as compound",6/27/2023 22:18,,GMA Integrated News,number people human situation compound las city closer said estimate according mark report tip early national police national capital region police office intelligence group anti group compound road site complex perimeter fence barbed wire high security outpost gate inside building living quarters supposedly china report said number people building initially case human like operation clark let rescue thousand foreign allegedly human case somewhat said police captain sabino interview participation people brought order determine job building operation police information casino operating social media data investigation job posting job posting work gaming investigating looking evidence love scam investment scam sabino said entire complex currently locked continue process information interagency team department justice bureau immigration department social welfare development department foreign department health formed news,Las Pinas City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/874140/1-534-filipinos-1-190-foreigners-rescued-from-las-pinas-compound/story/,https://images.gmanews.tv/webpics/2023/06/trafficking_las_pinas_2023_06_27_21_49_44.jpg,,,3
"Suspected human trafficking victims, including foreigners, rescued in Las PiÃ±as raid",6/27/2023 9:01,,GMA Integrated News,law enforcement suspected human following raid compound las city bam balita armed search warrant national capital region police office national police anti group building compound early morning tipped area found inside building foreign initially case human said police captain sabino sabino said based police estimate building housing according sabino job social media news trying comment news,Las Pinas City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/874056/suspected-human-trafficking-victims-including-foreigners-rescued-in-las-pinas-raid/story/,https://images.gmanews.tv/webpics/2023/06/ubfoto_2023_06_27_08_40_06.jpg,,,3
World War II vintage bombs discovered at National Museum compound,6/27/2023 7:35,,GMA Integrated News,vintage unearthed night compound national museum manila according report balita bomb manila police district high explosive projectile cartridge reportedly ammunition world war matter complex ground hit operator immediately chief security said police lieutenant officer charge district explosive canine unit compound operator found chief security said pure luck explode accidentally hit exploded exploded casualty range said month vintage found manila mortar illumination found national museum compound projectile high explosive found news,Manila City,Property Crime,https://www.gmanetwork.com/news/topstories/metro/874053/world-war-ii-vintage-bombs-discovered-at-national-museum-compound/story/,https://images.gmanews.tv/webpics/2023/06/ubfoto_2023_06_27_07_26_38.jpg,,,2
Baby found in bag woman tried to kick into Sampaloc drainage,06/01/2023 0:45,,GMA Integrated News,infant found dead inside woman tried push drainage sampaloc manila according report woman caught morning corner maria street seen video object inside drainage kicking number times push foul smell trash thrown drain street sweeper barangay box inside saw baby umbilical cord order clearly intentional abortion taken hospital canal said police staff sergeant sampaloc police station news,Manila City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/871711/baby-found-in-bag-woman-tried-to-kick-into-sampaloc-drainage/story/,https://images.gmanews.tv/webpics/2023/06/Baby_left_in_sewer_2023_06_01_00_43_32.png,,,1
SCTEX multi-vehicle collision kills 3 people,5/31/2023 20:13,,GMA Integrated News,vehicle collision portion clark expressway left people dead person injured according report incident took place northbound lane truck hit barrier slipped southbound lane went control said jerry incident report vehicle reportedly truck people figured incident rushed hospital pronounced dead arrival got negative pulse negative breathing said police investigating driver truck driver speeding time incident locus news,Quezon City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/871660/sctex-multi-vehicle-collision-injures-4-people/story/,https://images.gmanews.tv/webpics/2023/05/Screenshot_2023-05-31_at_7_2023_05_31_19_45_56.png,14.6508,121.04821,1
DMW shuts down QC travel agency for illegal recruitment,06/02/2023 16:43,,"SUNDY LOCUS, GMA Integrated News",department migrant shut travel agency city illegal recruitment secretary led firm closure barangay investigation found reportedly recruiting overseas proper according certain complaint company surveillance travel agency investigation firm submit passport pay told need pay payment submission work permit applicant pay additional balance covered told wait seven overseas said illegal recruitment company owner recommend cancellation business permit registration apply legitimate recruitment public report travel agency recruiting abroad clear anti illegal recruitment law said news,"Pasong Tamo, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/871872/dmw-shuts-down-qc-travel-agency-for-illegal-recruitment/story/,https://images.gmanews.tv/webpics/2023/06/DMW_2023_06_02_16_42_32.JPG,14.6827233,121.0617082,1
3 Koreans arrested for alleged possession of P6-M 'shabu',5/31/2023 3:42,,GMA Integrated News,possession suspected worth million according report escapee detention facility bureau immigration week ago manila police district mayor quick reaction team fugitive search unit year old kang chun inside unit san city team kilo suspected worth million said kang facility going fence said investigation kang case ongoing determine personnel raise wall facility enforce barbed wire cover blind area additional watch tower kang listed red notice allegedly killing wife police said suspect allegation little district director police brig gen said enlisted help embassy contents bap news,San Juan City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/871608/3-koreans-arrested-for-alleged-possession-of-p6-m-shabu/story/,https://images.gmanews.tv/webpics/2023/05/3_Koreans_nabbed_for_P6-M_shabu_2023_05_31_03_39_42.jpg,,,3
"3 armed foreigners nabbed, P78,000 in shabu seized in Pasay City",06/03/2023 21:19,,,worth search warrant unit city according report weekend mao information going building drawn pistol caliber revolver said district director police brigadier general kraft information going building pistol caliber revolver said finished raid suspected plastic liquid determine find forensic unit substance alarming know use kraft added suspected got plastic liquid know find substance alarming know use kraft added illegal possession violation dangerous act news,Pasay City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/871961/3-armed-foreigners-nabbed-p78-000-in-shabu-seized-in-pasay-city/story/,https://images.gmanews.tv/webpics/2023/06/Untitled_2023_06_03_22_56_02.jpg,,,3
Acorda: 2nd suspect in killing of Oriental Mindoro journo identified,06/05/2023 13:33,,"JOVILAND RITA, GMA Integrated News",second suspect fatal shooting radio broadcaster oriental week national police chief benjamin said based regional office police regional office think case ready filing second suspect said press conference based police regional office think case ready filing second suspect giving especially able file case added said received information location suspect reward worth capture suspect added divulge information possible killing avoid result investigation shot dead sari sari store city morning men board motorcycle immediately rushed nearest hospital declared dead arrival suspect motorcycle crash victim son shortly shooting incident suspect able flee said killing isolated incident news,Calapan City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/872050/acorda-2nd-suspect-in-killing-of-oriental-mindoro-journo-identified/story/,https://images.gmanews.tv/webpics/2023/05/benjamin_acorda_2023_05_08_19_31_30.jpg,,,1
Japanese woman nabbed for alleged illegal recruitment activities,06/06/2023 21:16,,,national las city illegal recruitment according report national bureau investigation anti human division illegally recruiting work japan exchange money job japan factory worker grandmother japan help receive said deputy attorney discovered suspect registered department migrant recruiting license violation illegal recruitment law money accepted consideration promise employment said want work abroad verify licensed transact individual better visit office company recruiting license avoid recruitment news,Las Pinas City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/872225/japanese-woman-nabbed-for-alleged-illegal-recruitment-activities/story/,https://images.gmanews.tv/webpics/2023/06/Untitled_2023_06_06_21_15_39.jpg,,,1
â€˜Shabuâ€™ worth over P55 million seized from Liberian at NAIA-3,06/05/2023 22:39,,"SUNDY LOCUS, GMA Integrated Newsfff",million worth suspected international airport initial investigation white substance suspected hydrochloride year old suspect suspected dried shrimp luggage country flight suspect came flight suspect passport boarding mobile phone customs baggage declaration form news,Metro Manila,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/872106/shabu-worth-over-p55-million-seized-from-liberian-at-naia-3/story/,https://images.gmanews.tv/webpics/2022/09/NIAA_Terminal_3_2022_09_17_12_51_07.jpg,,,4
"3 nabbed in Metro Manila, Rizal for illegal wildlife trade",06/05/2023 22:02,,GMA Integrated News,allegedly involved illegal wildlife trading separate manila suspect national police maritime group reportedly selling pet ball python know mistake illegal trading longer care python growing need money family said aware know illegal trading getting hard maintain pet money family likewise seller antipolo tried sell python accept mistake want try care illegal exotic try end like hard case suspect said accept wrong want adopt exotic animal end like difficult case suspect allegedly sell sun conure type exotic bird anticipate sell violation republic act wildlife act order care need certificate wildlife registration department environment natural need certificate wildfire farm sell legally said maritime group northern chief police major increase bird selling rainy season violation republic act wildlife act adopt certificate wildlife registration selling need certificate wildfire farm sell legally locus news,Pasig City,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/872102/3-nabbed-in-metro-manila-rizal-for-illegal-wildlife-trade/story/,https://images.gmanews.tv/webpics/2023/06/phyton_2023_06_05_22_02_06.JPG,,,4
